# 场地数据库 (格式: 场地名称,早场价格,晚场价格)
# 早场时间: 12:00 AM - 6:00 PM | 晚场时间: 6:00 PM - 12:00 AM
场地名称,早场价格(RM/h),晚场价格(RM/h)
Lavana Sport Center Setapak,14.84,29.68
Setapak Badminton Center (SBC),14.00,28.00
